iter	RMSE
0	2722.896052
1	2709.215086
2	2695.788089
3	2683.179831
4	2670.771994
5	2661.18727
6	2650.112162
7	2639.284422
8	2628.972408
9	2619.486764
10	2612.373871
11	2603.404578
12	2595.652571
13	2586.871477
14	2580.046554
15	2571.783796
16	2564.357618
17	2557.352544
18	2549.903833
19	2544.276565
20	2537.949481
21	2531.859336
22	2526.733594
23	2521.257287
24	2515.961251
25	2509.613491
26	2506.165622
27	2502.089636
28	2496.710981
29	2491.665654
30	2486.958377
31	2483.133895
32	2479.122227
33	2474.58005
34	2470.195193
35	2466.63644
36	2462.930237
37	2459.578206
38	2456.134353
39	2452.985009
40	2449.284082
41	2444.775029
42	2441.788882
43	2437.949455
44	2435.247388
45	2431.514282
46	2427.309453
47	2425.576528
48	2422.15566
49	2419.387937
50	2416.348179
51	2413.124111
52	2410.575764
53	2408.153152
54	2405.49197
55	2403.22519
56	2401.165102
57	2399.019095
58	2396.911164
59	2394.256328
60	2393.541017
61	2391.014379
62	2388.777416
63	2385.680917
64	2384.171202
65	2382.845977
66	2380.749035
67	2378.173931
68	2376.060444
69	2374.21517
70	2372.653049
71	2371.204419
72	2369.55106
73	2367.267818
74	2365.856136
75	2364.82892
76	2363.459546
77	2361.087044
78	2358.751874
79	2357.198509
80	2355.321275
81	2354.150314
82	2352.655626
83	2350.96768
84	2350.129551
85	2349.784125
86	2348.392429
87	2347.247206
88	2345.687799
89	2344.625378
90	2343.47933
91	2341.949764
92	2340.934065
93	2340.110913
94	2339.471326
95	2338.636047
96	2337.4674
97	2336.321057
98	2335.057666
99	2332.979824
100	2331.780035
101	2331.299171
102	2330.191668
103	2329.938944
104	2328.843839
105	2327.706558
106	2326.656011
107	2326.045794
108	2324.634499
109	2323.641054
110	2322.824503
111	2320.628318
112	2319.784275
113	2318.289659
114	2316.661825
115	2315.660864
116	2314.83381
117	2314.576082
118	2312.828594
119	2311.585798
120	2311.409765
121	2309.220379
122	2308.668211
123	2308.454299
124	2307.417545
125	2306.281439
126	2305.504004
127	2303.681614
128	2302.984053
129	2302.724693
130	2301.860903
131	2300.339905
132	2297.343047
133	2295.572309
134	2293.14242
135	2292.554514
136	2292.077512
137	2291.794905
138	2290.495008
139	2290.296563
140	2288.740773
141	2287.858253
142	2285.938621
143	2283.732795
144	2283.111452
145	2282.851885
146	2282.721153
147	2281.728925
148	2280.352994
149	2278.83188
150	2277.249289
151	2276.24264
152	2274.943737
153	2274.598683
154	2274.453928
155	2273.758292
156	2273.129718
157	2272.496907
158	2271.781215
159	2271.15469
160	2270.786026
161	2268.772452
162	2267.7828
163	2267.028913
164	2266.273447
165	2265.699259
166	2265.522784
167	2263.685905
168	2263.377272
169	2263.047432
170	2262.483367
171	2261.712477
172	2260.696722
173	2259.021314
174	2258.604979
175	2257.817317
176	2257.596184
177	2257.437596
178	2256.619388
179	2255.261365
180	2255.000967
181	2252.957142
182	2252.604146
183	2251.953565
184	2251.667116
185	2251.527259
186	2250.031116
187	2248.25637
188	2247.776415
189	2247.658298
190	2247.399392
191	2246.631448
192	2246.30351
193	2245.245062
194	2243.947271
195	2243.862453
196	2242.859726
197	2241.869902
198	2241.357531
199	2240.701745
200	2239.772509
201	2239.009089
202	2237.790488
203	2237.178569
204	2236.564917
205	2236.474406
206	2235.768251
207	2235.552155
208	2234.349016
209	2233.293224
210	2230.840523
211	2229.19506
212	2228.366669
213	2227.35317
214	2227.148211
215	2226.151623
216	2225.788316
217	2225.40018
218	2224.442783
219	2223.477519
220	2221.870821
221	2220.561895
222	2220.448161
223	2219.650882
224	2218.260619
225	2217.550805
226	2217.417684
227	2217.24677
228	2216.93736
229	2216.846251
230	2215.462283
231	2214.752226
232	2214.14423
233	2213.77222
234	2213.212814
235	2212.763635
236	2211.568461
237	2211.445441
238	2210.898682
239	2209.691406
240	2208.835651
241	2208.414726
242	2207.559768
243	2206.967912
244	2206.856106
245	2206.72017
246	2206.414905
247	2206.344495
248	2205.845693
249	2203.443856
250	2201.324574
251	2200.755873
252	2200.419299
253	2199.486504
254	2198.564123
255	2198.145663
256	2197.512342
257	2197.074818
258	2196.351877
