iter	Passed	Remaining
0	117	117320
1	220	109935
2	298	99325
3	374	93260
4	438	87219
5	520	86239
6	603	85592
7	684	84873
8	763	84036
9	845	83714
10	917	82504
11	990	81562
12	1070	81305
13	1151	81105
14	1224	80430
15	1295	79692
16	1367	79086
17	1443	78725
18	1519	78445
19	1594	78116
20	1664	77606
21	1735	77132
22	1806	76721
23	1874	76227
24	1953	76201
25	2030	76052
26	2084	75125
27	2160	75013
28	2240	75015
29	2313	74799
30	2386	74594
31	2453	74230
32	2529	74132
33	2603	73969
34	2678	73851
35	2753	73727
36	2827	73599
37	2906	73572
38	2978	73396
39	3057	73368
40	3116	72893
41	3197	72933
42	3269	72768
43	3344	72665
44	3417	72532
45	3490	72385
46	3565	72304
47	3645	72294
48	3715	72107
49	3786	71950
50	3860	71841
51	3941	71854
52	4019	71828
53	4086	71595
54	4158	71450
55	4233	71365
56	4306	71245
57	4377	71095
58	4456	71083
59	4529	70963
60	4603	70862
61	4681	70831
62	4756	70745
63	4825	70577
64	4894	70409
65	4968	70316
66	5037	70149
67	5113	70088
68	5187	69998
69	5258	69858
70	5332	69775
71	5410	69737
72	5476	69542
73	5551	69468
74	5629	69427
75	5708	69408
76	5785	69353
77	5859	69267
78	5931	69145
79	6002	69025
80	6070	68870
81	6136	68694
82	6206	68566
83	6302	68726
84	6407	68979
85	6483	68903
86	6563	68878
87	6630	68712
88	6704	68624
89	6776	68520
90	6849	68422
91	6913	68231
92	6988	68160
93	7057	68019
94	7127	67902
95	7202	67821
96	7288	67847
97	7368	67817
98	7436	67679
99	7498	67488
100	7565	67344
101	7646	67320
102	7731	67327
103	7802	67223
104	7879	67164
105	7956	67100
106	8029	67010
107	8100	66903
108	8175	66829
109	8247	66728
110	8318	66623
111	8392	66536
112	8467	66462
113	8539	66366
114	8569	65947
115	8646	65894
116	8713	65763
117	8788	65691
118	8855	65559
119	8931	65495
120	9003	65403
121	9077	65328
122	9151	65249
123	9226	65180
124	9310	65170
125	9382	65078
126	9453	64980
127	9527	64905
128	9593	64772
129	9660	64651
130	9738	64601
131	9815	64547
132	9892	64487
133	9963	64393
134	10032	64282
135	10110	64233
136	10185	64162
137	10262	64103
138	10331	63993
139	10405	63917
140	10471	63792
141	10547	63729
142	10614	63613
143	10687	63531
144	10760	63449
145	10838	63400
146	10911	63318
147	11008	63371
148	11106	63432
149	11175	63326
150	11265	63340
151	11361	63387
152	11451	63393
153	11500	63178
154	11571	63082
155	11661	63089
156	11747	63078
157	11825	63019
158	11894	62911
159	11969	62837
160	12066	62880
161	12142	62813
162	12215	62724
163	12306	62731
164	12388	62692
165	12461	62608
166	12544	62571
167	12634	62569
168	12711	62505
169	12793	62461
170	12906	62568
171	12987	62522
172	13083	62545
173	13157	62461
174	13227	62357
175	13304	62288
176	13383	62231
177	13466	62187
178	13533	62070
179	13604	61978
180	13680	61904
181	13755	61824
182	13822	61710
183	13845	61401
184	13918	61316
185	13993	61242
186	14089	61254
187	14156	61144
188	14233	61076
189	14332	61100
190	14411	61040
191	14480	60937
192	14552	60848
193	14629	60778
194	14698	60680
195	14771	60592
196	14869	60611
197	14964	60614
198	15038	60533
199	15133	60533
200	15225	60522
201	15283	60375
202	15355	60287
203	15436	60231
204	15510	60152
205	15586	60077
206	15648	59946
207	15725	59878
208	15803	59810
209	15866	59688
210	15940	59608
211	16012	59519
212	16043	59276
213	16112	59179
214	16172	59046
215	16274	59071
216	16348	58991
217	16419	58898
218	16489	58803
219	16562	58720
220	16643	58664
221	16712	58570
222	16788	58497
223	16880	58478
224	16952	58393
225	17045	58375
226	17108	58260
227	17178	58164
228	17236	58030
229	17311	57955
230	17372	57831
231	17447	57756
232	17538	57733
233	17619	57677
234	17701	57623
235	17789	57588
236	17880	57564
237	17958	57498
238	18069	57534
239	18138	57437
240	18209	57349
241	18280	57257
242	18350	57166
243	18418	57066
244	18491	56983
245	18565	56905
246	18631	56799
247	18702	56711
248	18779	56640
249	18859	56577
250	18931	56494
251	19003	56407
252	19079	56334
253	19156	56261
254	19230	56181
255	19326	56166
256	19399	56084
257	19474	56007
258	19540	55906
259	19619	55839
260	19686	55739
261	19755	55648
262	19839	55595
263	19908	55501
264	19982	55424
265	20059	55351
266	20132	55271
267	20199	55172
268	20271	55087
269	20366	55065
270	20471	55069
271	20562	55035
272	20661	55022
273	20762	55014
274	20855	54983
275	20921	54881
276	21000	54814
277	21077	54741
278	21156	54674
279	21230	54592
280	21306	54517
281	21379	54435
282	21456	54360
283	21523	54263
284	21602	54196
285	21691	54151
286	21758	54055
287	21820	53944
288	21887	53847
289	21964	53775
290	22037	53693
291	22112	53615
292	22186	53534
293	22261	53458
294	22336	53379
295	22416	53315
296	22481	53213
297	22545	53110
298	22617	53027
299	22691	52946
300	22764	52864
301	22844	52799
302	22913	52708
303	22979	52611
304	23047	52518
305	23124	52445
306	23204	52379
307	23301	52352
308	23374	52272
309	23453	52203
310	23528	52126
311	23589	52018
312	23668	51950
313	23743	51872
314	23821	51803
315	23891	51715
316	23969	51643
317	24042	51563
318	24111	51472
319	24183	51389
320	24253	51302
321	24300	51166
322	24361	51060
323	24466	51046
324	24544	50976
325	24615	50892
326	24713	50863
327	24783	50776
328	24843	50669
329	24919	50593
330	24981	50492
331	25048	50399
332	25124	50324
333	25191	50232
334	25259	50142
335	25335	50066
336	25413	49997
337	25495	49935
338	25578	49875
339	25677	49844
340	25766	49795
341	25850	49736
342	25933	49674
343	26032	49643
344	26098	49548
345	26172	49471
346	26251	49400
347	26325	49322
348	26406	49257
349	26471	49161
350	26542	49076
351	26619	49004
352	26694	48927
353	26772	48856
354	26861	48804
355	26918	48694
356	26979	48592
357	27059	48525
358	27128	48438
359	27200	48355
360	27299	48322
361	27375	48247
362	27475	48215
363	27549	48135
364	27621	48053
365	27695	47974
366	27773	47903
367	27840	47812
368	27912	47731
369	27979	47640
370	28055	47566
371	28127	47484
372	28201	47405
373	28276	47328
374	28337	47229
375	28414	47155
376	28488	47078
377	28579	47028
378	28647	46939
379	28722	46863
380	28793	46780
381	28869	46705
382	28946	46631
383	29020	46554
384	29097	46480
385	29166	46394
386	29240	46316
387	29311	46233
388	29384	46153
389	29456	46073
390	29536	46003
391	29627	45953
392	29704	45878
393	29785	45811
394	29859	45733
395	29934	45658
396	30004	45573
397	30085	45505
398	30155	45422
399	30254	45382
400	30323	45295
401	30394	45213
402	30466	45132
403	30566	45093
404	30634	45006
405	30710	44931
406	30839	44933
